Address,City,State,Property Name,Latitude,Longitude,Total Sqft,Built,Floors,Office/APT
12011 San Vicente Blvd, Brentwood, CA,Saltair San Vicente,34.052588,-118.470013,55730.0,1964.0,7.0,Office
11740 San Vicente Blvd, Brentwood, CA,San Vicente Plaza,34.05268,-118.469306,34632.0,1984.0,2.0,Office
201 Santa Monica Blvd, Santa Monica, CA,Santa Monica Square,34.015046,-118.497022,78494.0,1983.0,6.0,Office
1333 2nd St, Santa Monica, CA,Second Street Plaza,34.0157823,-118.4974365,81313.0,1991.0,6.0,Office
15301 - 15303 Ventura Blvd, Sherman Oaks / Encino, CA,Sherman Oaks Galleria,34.15479,-118.472095,1006307.0,1979.0,,Office
3400 W. Riverside Dr, Burbank, CA,Studio Plaza,34.152353,-118.33576,456205.0,1988.0,13.0,Office
1067 Glendon Avenue, Westwood, CA,The Glendon Retail,34.0614126,-118.4443979,50976.0,,1.0,Office
10940 Wilshire Blvd, Westwood, CA,The Tower,34.0580476,-118.4450773,219259.0,1988.0,24.0,Office
6300-6320 Canoga Ave, Woodland Hills, CA,The Trillium,34.1707812,-118.5974332,614247.0,1987.0,,Office
530 Wilshire Blvd, Santa Monica, CA,The Verona,34.020606,-118.4966003,49601.0,1990.0,4.0,Office
15260 Ventura Blvd, Sherman Oaks / Encino, CA,Valley Executive Tower,34.15479,-118.472095,390639.0,1984.0,21.0,Office
15233 Ventura Blvd, Sherman Oaks / Encino, CA,Valley Office Plaza,34.15479,-118.472095,199569.0,1966.0,13.0,Office
301 N. Canon Dr, Beverly Hills, CA,Village on Canon,34.069251,-118.399644,102296.0,,3.0,Office
21500-21800 Oxnard St, Woodland Hills, CA,Warner Center Towers,34.179079,-118.602736,1921671.0,1984.0,,Office
21300 Victory Blvd, Woodland Hills, CA,Warner Corporate Center,34.188269,-118.595385,258492.0,1987.0,12.0,Office
11835-45 W. Olympic Blvd, Olympic Corridor, CA,Westside Towers,39.334399,-120.157381,423273.0,1985.0,12.0,Office
1100 Glendon Ave, Westwood, CA,Westwood Center,34.0605418,-118.4434967,334111.0,1962.0,22.0,Office
10866 Wilshire Blvd, Westwood, CA,Westwood Place,34.0590067,-118.4421478,198750.0,1986.0,16.0,Office
12121 Wilshire Blvd, Brentwood, CA,Wilshire Bundy Plaza,34.0440265,-118.4681651,313749.0,1984.0,14.0,Office
1221 Ocean Avenue, Santa Monica, CA,Avenue,34.016508,-118.5007248,197250.0,1971.0,119.0,Apt
555 Barrington Ave, Los Angeles, CA,555 Barrington,34.0582023,-118.4683678,165389.0,1988.0,112.0,Apt
11668 Kiowa Ave, Los Angeles, CA,Barrington Kiowa,34.0514048,-118.4619577,19992.0,1974.0,55.0,Apt
11740 Wilshire Blvd, Los Angeles, CA,Barrington Plaza,34.0484054,-118.4611526,312893.0,1961.0,240.0,Apt
1145 Barry Ave, Los Angeles, CA,Barry Apartments,34.0518052,-118.4608532,45959.0,1973.0,53.0,Apt
11717 Kiowa Ave, Los Angeles, CA,Kiowa Apartments,34.0508256,-118.4629582,24510.0,1972.0,19.0,Apt
1431 Ocean Ave, Santa Monica, CA,Pacific Plaza,34.0150079,-118.4991435,198836.0,1963.0,288.0,Apt
1040 Glendon Ave, Los Angeles, CA,The Glendon,34.061355,-118.4442099,226852.0,,224.0,Apt
11750 Wilshire Blvd, Los Angeles, CA,The Landmark Los Angeles,34.048576,-118.461807,421794.0,1990.0,,Apt
2720 Neilson Way, Santa Monica, CA,The Shores,34.0002957,-118.4829504,,,,Apt
1221 Ala Kapuna St, Honolulu, HI,Moanalua Hiillside Apt,21.3670185,-157.9005478,,1968.0,1098.0,Apt
1132 Bishop St, Honolulu, HI,The Residences at Bishop Place,21.3100201,-157.8604394,26527.0,1992.0,,Apt
94-994 Eleu St, Waipahu, HI,Villas at Royal Kunia,21.396712,-158.029078,428195.0,1990.0,,Apt
1320 Aala St, Honolulu, HI,Waena Apartments,21.3166811,-157.8610067,,1969.0,,Apt
